OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
9253920206.BLANK,O0019,E1024,BL01,General,2,0,4400,E1024,1
9259076592.BLANK,O0019,E1024,BL01,General,3,0,1136,E1024,0
F2P00510-L_BRKT.FOLD,O0037,E1036,PP02,General,1,0,336,E1043,0
F7182114.4_HOLES_PIERCE,O0013,E1036,PP02,General,2,0,200,E1043,0
F2834413.PARTNO_PUNCH,O0127,E1035,MP01,General,1,0,500,E1043,1
F2834513.PARTNO_PUNCH,O0127,E1035,MP01,General,2,0,499,E1043,0
F2P00510-L_BRKT.PARTNO_PUNCH,O0127,E1035,MP01,General,3,0,336,E1043,0
F1103713.BLANK,O0019,E1031,PP06,General,2,0,1008,E1043,0
F7182114.U_FOLD,O0096,E1037,PP03,General,1,0,1000,E1043,1
B0Y53406-FUSE_BOX_MTG_PLATE.FORM,O0041,E1037,PP03,General,2,0,648,E1043,0
9254916692.NOTCH,O0051,E1032,MP01,General,1,0,181,E1043,0
100261121.TOP_HOLES_PIERCE,O0070,E1032,PP04,General,1,0,380,E1043,0
100261121.FLAT,O0036,E1032,PP04,General,3,0,380,E1043,1
9709090124.2ND_DRAW,O0003,E1033,HP04,General,1,0,835,E1043,0
9709090124.3RD_DRAW,O0004,E1046,HP04,General,1,0,1210,E1043,0
9259076592.1ST_DRAW,O0002,E1011,PP09,General,1,0,2110,E1010,0
9259076592.1ST_DRAW,O0002,E1011,PP09,General,2,0,450,E1010,1
9259076592.2ND_DRAW,O0003,E1011,PP10,General,1,0,2110,E1010,0
9259076592.2ND_DRAW,O0003,E1011,PP10,General,2,0,450,E1010,0
9253920415.2ND_DRAW,O0003,E1011,PP10,General,3,0,787,E1010,0
9259076592.TRIM,O0072,E1011,PP11,General,2,0,450,E1010,0
9259076592.RELEASE_PUNCH,O0059,E1011,PP12,General,1,0,2110,E1010,0
9259076592.RELEASE_PUNCH,O0059,E1011,PP12,General,2,0,450,E1010,0
